AÑ;PERIODO;FECHA DE EMISION;FECHA DE VENCIMIENTO;CODIGO DE CLIENTE;CLIENTE;Indicador;DE_TIPO_DOCU;N° DOCUMENT;MONEDA;TIPO DE  CAMBIO;BASE IMPONIBLE;IGV;TOTAL;BASE IMPONIBLE SOLES;IGV SOLES;TOTAL SOLES;TIPO DE PAGO;CONDICION DE PAGO;DE_TIPO_DOCU;N° DOCUMENT;MONEDA;TIPO DE CAMBIO;BASE IMPONIBLE;IGV;TOTAL;BASE IMPONIBLE SOLES;IGV SOLES;TOTAL SOLES;VENDEDORES
2024;2024-05;7/05/2024;7/05/2024;10329884762;SANCHEZ CONDORI GRISELDA SOFIA;1;FACTURA;F001-00039748;USD;3.73;3,375.00;607.5;3,982.50;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;KLEBER SANTA CRUZ
2024;2024-05;7/05/2024;7/05/2024;20601607167;FILMARG S.A.C.;1;FACTURA;F001-00039750;USD;3.73;86.88;15.64;102.52;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;CRISTHIAN VEGA
2024;2024-05;10/05/2024;10/05/2024;20503721032;J & M MINERIA SOCIEDAD ANONIMA CERRADA;1;FACTURA;F001-00039778;USD;3.71;192;34.56;226.56;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;ROBSON MOSCOSO
2024;2024-05;13/05/2024;13/05/2024;20608371134;COMPAÑIA COLMER S.A.C;1;FACTURA;F001-00039783;USD;3.71;48.21;8.68;56.89;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;ROBSON MOSCOSO
2024;2024-05;13/05/2024;13/05/2024;20601844096;INVERSIONES ECCOLA S.A.C.;1;FACTURA;F001-00039793;USD;3.71;2,791.53;502.48;3,294.01;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;CRISTHIAN VEGA
2024;2024-05;13/05/2024;13/05/2024;20506450374;ECO BENEFICOS E.I.RL.;1;FACTURA;F001-00039796;USD;3.71;36.7;6.61;43.31;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;JACKELINE PANDO
2024;2024-05;14/05/2024;14/05/2024;20611802758;FAE LOGISTIC INTEGRAL E.I.R.L.;1;FACTURA;F001-00039810;USD;3.72;288.75;51.98;340.73;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;ROBSON MOSCOSO
2024;2024-05;14/05/2024;14/05/2024;20142053498;PESQUERA BETHEL S.A.;1;FACTURA;F001-00039811;USD;3.72;2,791.53;502.48;3,294.01;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;CLAUDIO BALDEON
2024;2024-05;14/05/2024;14/05/2024;20605431144;DRILLING FORCE E.I.R.L.;1;FACTURA;F001-00039812;USD;3.72;417.6;75.17;492.77;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;CRISTHIAN VEGA
2024;2024-05;15/05/2024;15/05/2024;20601838428;SCION CAPITAL S.A.C.;1;FACTURA;F001-00039827;USD;3.73;89.44;16.1;105.54;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;ROBSON MOSCOSO
2024;2024-05;15/05/2024;15/05/2024;20601607167;FILMARG S.A.C.;1;FACTURA;F001-00039828;USD;3.73;216;38.88;254.88;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;CRISTHIAN VEGA
2024;2024-05;15/05/2024;15/05/2024;20605901353;MINING PARTS COMPANY S.A.C.;1;FACTURA;F001-00039829;USD;3.73;605.07;108.91;713.98;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;ROBSON MOSCOSO
2024;2024-05;15/05/2024;15/05/2024;20536628038;PERUVIAN HYDRAULIC GROUP S.A.C.;1;FACTURA;F001-00039831;USD;3.73;50.27;9.05;59.32;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;ROBSON MOSCOSO
2024;2024-05;17/05/2024;17/05/2024;20605901353;MINING PARTS COMPANY S.A.C.;1;FACTURA;F001-00039843;USD;3.73;562.76;101.3;664.06;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;ROBSON MOSCOSO
2024;2024-05;17/05/2024;17/05/2024;20607745286;INGENIERIA Y CONSTRUCCION HESVA S.R.L.;1;FACTURA;F001-00039845;USD;3.73;182.98;32.94;215.92;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;KLEBER SANTA CRUZ
2024;2024-05;21/05/2024;21/05/2024;20607864196;XIAN BUSINESS CORPORATION S.A.C.;1;FACTURA;F001-00039876;USD;3.74;1,205.82;217.05;1,422.87;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;CRISTHIAN VEGA
2024;2024-05;21/05/2024;21/05/2024;20604093547;GRUPO JAVI S.A.C.;1;FACTURA;F001-00039877;USD;3.74;96;17.28;113.28;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;JOHNNY RAMOS
2024;2024-05;21/05/2024;21/05/2024;20611154594;HYDRAULIC MARKET S.A.C.;1;FACTURA;F001-00039878;USD;3.74;125.52;22.59;148.11;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;ROBSON MOSCOSO
2024;2024-05;22/05/2024;22/05/2024;20571551161;DISTRIBUIDORA ARTPES S.A.C.;1;FACTURA;F001-00039883;USD;3.74;2,160.00;388.8;2,548.80;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;ROBSON MOSCOSO
2024;2024-05;22/05/2024;22/05/2024;20607922293;FELTWELL PERU S.A.C.;1;FACTURA;F001-00039897;USD;3.74;148.66;26.76;175.42;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;KLEBER SANTA CRUZ
2024;2024-05;22/05/2024;22/05/2024;20612201901;GRUPO ESEMIN PERU SAC;1;FACTURA;F001-00039898;USD;3.74;715.08;128.71;843.79;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;KLEBER SANTA CRUZ
2024;2024-05;23/05/2024;23/05/2024;20605776800;IVM MULTISERVICIOS S.A.C.;1;FACTURA;F001-00039916;PEN;3.74;38.4;6.91;45.31;38.4;6.91;45.31;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;ISAAC OSORIO
2024;2024-05;23/05/2024;23/05/2024;20611802758;FAE LOGISTIC INTEGRAL E.I.R.L.;1;FACTURA;F001-00039917;USD;3.74;346.5;62.37;408.87;0;0;0;CONTADO;Contado;OTROS;;;0;0;0;0;0;0;0;ROBSON MOSCOSO
